City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,aktobe,50.2797,57.2072,39.29,87,0,8.95,KZ,1697499833
272,mata-utu,-13.2816,-176.1745,81.18,79,44,22.79,WF,1697499834
273,haiku-pauwela,20.9219,-156.3051,84.22,58,20,23.02,US,1697499834
274,kete krachi,7.7939,-0.0498,75.13,92,86,6.85,GH,1697499834
275,the pas,53.8251,-101.2541,57.22,58,0,5.75,CA,1697499834
276,saint-joseph,-21.3667,55.6167,71.98,95,67,3.09,RE,1697499835
277,mana,5.6592,-53.7767,81.68,83,40,9.24,GF,1697499835
278,carutapera,-1.195,-46.02,78.76,81,69,7.14,BR,1697499835
279,manaure,11.7751,-72.4445,84.63,82,10,15.21,CO,1697499835
280,oyama,36.3,139.8,68.59,59,0,3.47,JP,1697499835
281,nova sintra,14.8667,-24.7167,78.15,71,68,12.88,CV,1697499836
282,igarka,67.4667,86.5833,30.78,97,100,6.89,RU,1697499836
283,borogontsy,62.6683,131.1683,22.28,62,99,1.01,RU,1697499836
284,chengde,40.9725,117.9361,51.39,48,34,1.3,CN,1697499679
285,san patricio,28.017,-97.5169,75.54,39,0,6.73,US,1697499837
286,nha trang,12.25,109.1833,77.0,83,96,4.5,VN,1697499837
287,daru,-9.0763,143.2092,84.29,65,39,8.34,PG,1697499837
288,kambove,-10.8764,26.5969,67.35,81,98,4.99,CD,1697499837
289,linxia chengguanzhen,35.6003,103.2064,42.94,90,100,3.29,CN,1697499838
290,lerwick,60.1545,-1.1494,51.8,87,100,19.95,GB,1697499816
291,egilsstadir,65.2653,-14.3948,33.71,100,100,3.44,IS,1697499838
292,kerikeri,-35.2268,173.9474,63.91,92,21,11.12,NZ,1697499838
293,gallatin,45.6666,-111.2008,69.01,52,0,3.44,US,1697499834
294,madera,37.1666,-119.8343,85.08,30,65,11.05,US,1697499839
295,koratla,18.8167,78.7167,70.56,76,50,2.66,IN,1697499839
296,dabeiba,7.0017,-76.2672,73.15,96,100,2.66,CO,1697499839
297,gargalianoi,37.0667,21.6333,68.36,72,85,1.66,GR,1697499839
298,ash shatrah,31.4117,46.1742,75.27,36,0,8.3,IQ,1697499839
299,boa vista,2.8197,-60.6733,85.98,66,20,4.61,BR,1697499840
300,gorontalo,0.5412,123.0595,86.58,61,79,1.61,ID,1697499840
301,jimenez,28.3333,-105.4,78.89,29,0,8.97,MX,1697499840
302,mugia,43.1041,-9.2179,69.91,70,91,25.88,ES,1697499841
303,xiva,41.3783,60.3639,40.98,29,0,11.1,UZ,1697499841
304,kapa'a,22.0752,-159.319,82.72,73,20,10.36,US,1697499841
305,vytegra,61.0064,36.4481,40.35,79,89,13.0,RU,1697499841
306,vila velha,-20.3297,-40.2925,76.95,91,40,7.0,BR,1697499703
307,machico,32.7,-16.7667,77.72,80,20,6.91,PT,1697499842
